Code,Title,Description,Diagnosis,"T Code","M Code","P Code",Classification,"Cancer Register",RCPath
"54600D-ACUTE GANGRENOUS APPEND",,"Sections from the appendix show features of ACUTE GANGRENOUS APPENDICITIS. There is no evidence of parasites or neoplasia.","appendix - ACUTE GANGRENOUS APPENDICITIS",66,72000,,,,
"72000B-Lymphoid hyperplasia",,"Sections of appendix show prominent lymphoid follicles and a fecolith. No active inflammation or granulomas are seen. There is no evidence of dysplasia or malignancy. The features are those of lymphoid hyperplasia.","appendix - Lymphoid hyperplasia",66,,,,,
"420057A-Chronic cholecystitis ",,"Section show mild chronic inflammation with Rokitansky-Aschoff sinuses, and smooth muscle hypertrophy. There is also fibrosis. There is no evidence of dysplasia or malignancy. The features are those of chronic Cholecystitis.","Gall bladder - Chronic cholecystitis and fibrosis",57,,,,,
,,,,,,,,,
"420057B-Gall stones",,"Sections show Rokitansky-Aschoff sinuses, with mild fibrosis and smooth muscle hypertrophy. In areas the wall of the gall bladder is attenuated. There is no evidence of dysplasia or malignancy. Inflammation is minimal. The features are those of chronic Cholecystitis.","Gall bladder - Gall stones",57,,,,,
"420057C-Cholesterolsis with ch",,"Gall bladder mucosa showing deposits of cholesterol esters in macrophages within the lamina propria (foam cells) and in mucosal epithelium. There is mild chronic inflammation with Rokitansky-Aschoff sinuses, and smooth muscle hypertrophy. There is no evidence of dysplasia or malignancy. The features are those of Cholesterolsis with chronic Cholecystitis.","Gall bladder - Cholesterolsis with chronic Cholecystitis",57,4300chroniccholecystitiswithcholelithiasis,,,,
420057D-Xanthogranulomatous,,"Gall bladder mucosa showing histiocytes within the lamina propria (foam cells) and in mucosal epithelium and muscularis propria. Bile pigmented is present. Cholesterol clefts are noted. There is no evidence of dysplasia or malignancy. The features are those of Xanthogranulomatous Cholecystitis.","Gall bladder - Xanthogranulomatous",57,,,,,
"420062J-Acute on chronic GB",,"Sections of small bowel show normal mucosa, submucosa and muscularis propria. There is subserosal acute on chronic inflammation and fibrosis in keeping with small bowel adhesions. There is no evidence of dysplasia or malignancy. The resection margins are normal.","Small bowel - small bowel adhesions",62,100normal,,,,
"10063A-Colon: Normal",,"Sections of normal large intestinal mucosa. There is no significant histological abnormality. No dysplasia or malignancy is seen.","Large intestinal mucosa - Normal",63,100normal,,,,
"10063B-Normal large bowel muco",,"Normal large bowel mucosa with normal crypt architecture and mucin preservation. There is no evidence of microscopic colitis, inflammatory bowel disease, dysplasia or malignancy. ","Large intestinal mucosa - Normal",63,9350,,,,
"420063F-Acute colitis",,"Focal acute colitis with aphthoid ulceration. Aphthoid ulceration may be seen in infectious colitis, Crohn?s disease or a drug reaction",,63,,,,,
"420063G-Focal active colitis",,"Colonic mucosa with focal cryptitis/crypt abscess formation and intact glandular architecture. The findings may represent Crohn?s disease, infectious colitis, be drug-related or incidental.","Large intestinal mucosa - Focal active colitis",63,,,,,
"420063H-Mild active chronic co",,"Fragments of colonic mucosa showing mucin depletion, mild architectural change, with mild ot moderate active chronic inflammation. There is no cryptitis or crypt abscess formation. No granulomas seen. No dysplasia is seen. The features are those of mild active chronic colitis.","Large intestinal mucosa - Mild active chronic colitis",63,,,,,
"420063I-Chronic colitis, ulcer",,"Fragments of colonic mucosa showing mucin depletion, diffuse architectural change, cryptitis and crypt abscess formation. No granulomas seen. There is mild/moderate/severe activity. The features are consistent with inflammatory bowel disease. Favour ulcerative colitis.","Large intestinal mucosa - Chronic colitis, ulcerative colitis:",63,,,,,
"420063J-Colitis undetermined:",,"Active chronic colitis without evidence of crypt destruction and lacking features of microscopic colitis. Active chronic colitis of indeterminate-type.","Large intestinal mucosa - Colitis undetermined:",63,,,,,
"420063K-Chronic colitis:",,"Fragments of colonic mucosa showing mucin depletion, diffuse architectural change, cryptitis and crypt abscess formation. (No/mild/moderate/severe) evidence of dysplasia. The features are consistent with inflammatory bowel disease.","Large intestinal mucosa - Chronic colitis:",63,,,,,
"420063L-Active non-specific in",,"Fragments of colonic mucosa with minimal active non specific inflammation. There is no mucin depletion, cryptitis or crypt abscess formation. No granulomas seen. There is no evidence of dysplasia or malignancy.","Large intestinal mucosa - Active non-specific inflammation",63,,,,,
"420063M-Crohn?s disease:",,"Fragments of colorectal mucosa showing numerous non-caseating granulomas. The features are consistent with Crohn?s disease. Infections, sarcoidosis and drug reaction should be excluded.","Large intestinal mucosa - Crohn?s disease:",63,,,,,
"420062K-Mild inflammation",,"Sections of small intestinal mucosa show mild inflammation. No granulomas are seen. No dysplasia or malignancy is seen.",,62,,,,,
"420063N-Focal active colitis",,"Colonic mucosa with focal cryptitis and intact glandular architecture. There is no crypt abscess formation or granulomas. No dysplasia or malignancy is seen. The features are those of focal active colitis.","Large intestinal mucosa - Focal active colitis",63,,,,,
"10063-Normal large intestine",,"Sections of normal large intestinal mucosa. There is no significant histological abnormality. No dysplasia or malignancy is seen.","Large intestinal mucosa - Normal large intestine",63,,,,,
"420063P-Inflamed large intsest",,"Sections of large intestinal mucosa show mild active inflammation in the lamina propria. There is no other significant histological abnormality. No dysplasia or malignancy is seen.","Large intestinal mucosa - Inflamed large intsestine",63,,,,,
"420063Q-Lymhoid agg",,"Fragments of colonic mucosa showing focal cryptitis, lymphoid aggregates and a single non-caseating granuloma. The features are consistent with Crohn?s disease.","Large intestinal mucosa - Lymhoid agg",63,,,,,
"420063R-Ulcer slough",,"Skin with acute inflammation and fistula tract formation. There is ulcer slough and numerous poorly formed granulomas with giant cells. No dysplasia or malignancy is seen. The features are in keeping with a fistula tract forming in the setting of Crohn?s disease.","Large intestinal mucosa - Ulcer slough",63,,,,,
"430063A-Chronic inflammation",,"Sections of large intestinal mucosa with chronic inflammation, mild mucin depletion and mild fibrosis. No granulomas are seen. No dysplasia or malignancy is seen.","Large intestinal mucosa - Chronic inflammation",63,,,,,
"430063B-Chronic inflammation a",,"Sections of large intestinal mucosa with chronic inflammation, mild mucin depletion and mild fibrosis. Specimens B, D, G have lymphoid follicles. No granulomas are seen. No dysplasia or malignancy is seen.","Large intestinal mucosa - Chronic inflammation and fibrosis",63,,,,,
"420062L-Resection of bowel wit",,"Small bowel wall with sharply delimited and transmural involvement by an inflammatory mass with mucosal damage, noncaseating, non-confluent, sarcoid-like granulomas in involved and non-involved bowel, fissuring, deep into muscularis propria with fibrous tissue and oedema and marked acute inflammation. Lymphoid aggregates are noted. There is superficial and deep ulceration, edema, lymphatic dilation, hyperplasia of muscularis mucosa. There is evidence of perforation. Some architectural distortion is noted with villus blunting and crypt atrophy. Acute inflammation is seen at the proximal resection margin but the distal margin is normal. There is no evidence of dysplasia or malignancy. The features are entirely in keeping with an inflammatory mass arising in Crohn?s colitis.","Large intestinal mucosa - Resection of bowel with crohns",63,,,,,
"420063S-Ulcerative colitis",,"Fragments of colonic mucosa showing mucin depletion, diffuse architectural change, cryptitis but no crypt abscess formation. No granulomas seen. There is moderate activity. The features are consistent with inflammatory bowel disease. Favour ulcerative colitis.","Large intestinal mucosa - Ulcerative colitis",63,82611adenomavillous,,,,
"86211A-Polyps-Villous adenoma",,"Large intestinal mucosa with a low grade villous adenoma. There is no evidence of malignancy.","Large intestinal mucosa - Villous adenoma",63,82111tubularadenoma,,,,
"86211B-Polyps-Tubular adenoma",,"Large intestinal mucosa with a low grade tubular adenoma. There is no evidence of malignancy.","Large intestinal mucosa - Tubular adenoma",63,82630adenomatubulovillous,,,,
"86211C-Polyps-Tubulo-villous a",,"Large intestinal mucosa with a low grade tubulo-villous adenoma. There is no evidence of malignancy.","Large intestinal mucosa - Tubulo-villous adenoma",63,8211,,,,
"86211D-PolypsInflamed tubulo-v",,"Large intestinal mucosa with an acutely inflamed, low grade tubulovillous adenoma. There is no evidence of malignancy.","Large intestinal mucosa - Inflamed tubulo-villous ",63,76800,,,,
7680063A-Polyps-Serration,,"Large intestinal mucosa with a mild serration of the epithelium in keeping with a hyperplastic polyp. There is no evidence of dysplasia or malignancy.","Large intestinal mucosa - Serration",63,76800,,,,
"7680063B-Polyps-Mucosal prolap",,"Large intestinal muscosa showing thickened, disorganized muscularis mucosae with extension into lamina propria and surrounding individual crypts. There is also focal crypt distortion and serration. There is no evidence of dysplasia or malignancy. The features are in keeping with a mucosal prolaspse.","Large intestinal mucosa - Mucosal prolapse",63,,,,,
"420063T-Collagenous colitis",,"Colonic mucosa with thickened apical subepithelial collagen layer showing irregular collagen deposition showing a ragged, spiculated deep edge. The lamina propria shows entrapped capillaries, fibroblasts and inflammatory cells Increased intraepithelial chronic inflammatory cells are noted. The features are in keeping with Collagenous Colitis. There is no evidence of dysplasia or malignancy.","Large intestinal mucosa - Collagenous colitis",63,,,,,
"420074A-Bladder-Transitional c",,"Fragments show transitional cell epithelium with oedema and congestion with smooth muscle bundles. There is no evidence of dysplasia or malignancy. The features, although not specific, are in keeping with laproscopic pyeloplasty.","Bladder - Transitional cell epithelium",74,,,,,
"420074B-Bladder-TCC Grade 1",,"These are superifical bladder mucosa fragments from a grade 1, papillary transitional cell carcinoma. The detrusor muscle is not included. There is no evidence of stromal invasion.","Bladder - TCC Grade 1",74,,,,,
"420074C-Bladder-Reactive ",,"Fibromuscular tissue with blood vessels showing almost complete denudation of the urothelial epithelium. The stroma shows acute on chronic inflammation. No granulomas are seen. Where present the epithelium show reactive changes. There is no dysplasia or malignancy.","Bladder - Reactive ",74,,,,,
"420074D-Bladder-Chronic cystit",,"Superficial fragments of bladder muscosa showing reactive change of the surface urothelial epithelium with mild hyperplasia. Occasional dyscohesive and atypical cells are noted. The stroma shows acute on chronic inflammation. No granulomas are seen. There is no dysplasia or malignancy. The features are reactive in nature and are of chronic cystitis.","Bladder - Chronic cystitis",74,,,,,
"420074E-Bladder-Follicular cys",,"Superficial fragments of bladder muscosa showing reactive change of the surface urothelial epithelium. The stroma shows acute on chronic inflammation with well formed reactive lymphoid follicles. No granulomas are seen. There is no dysplasia or malignancy. The features are those of chronic follicular cystitis.","Bladder - Follicular cystitis",74,,,,,
"420074F-Bladder-TCG Grade 2",,"Fragments of inflamed bladder mucosa and wall show features of a transitional cell carcinoma and exhibit grade 2 (low grade) characteristics. The tumour has focally an inverted growth pattern. Focal stromal involvement by tumour cells is seen (pT1) Adjacent flat urothelium is not present for assessment. There is acute on chronic inflammation. The muscularis propria is not infiltrated by tumour. The features are those of a grade 2 transitional cell carcinoma, pT1.","Bladder - TCG Grade 2",74,,,,,
"420074G-Bladder-TCG Grade 2/3",,"Skin with hyperkeratotic crusted papillomatous inflamed Bowen's disease (squamous cell carcinoma in situ). The base of the lesion is not seen, therefore cannot be assessed for invasion. ","Bladder - TCG Grade 2/3",74,,,,,
"420074H-TCG Grade 3",,"This is ulcerated bladder mucosa. The urothelium is replaced by a high grade urothelial neoplasm in which there is marked disruption of the tumour making assessment difficult. There is a focal papillary component identified, in keeping with Grade 3 (high grade) transitional cell carcinoma. At the base of lesion, whilst the interpretation is difficult there are areas which are highly suggestive of early stromal infiltration. No lymphovascular space invasion is seen. There is evidence of flat carcinoma in situ (CIS). The muscularis propria is not infiltrated by tumour.","Bladder - TCG Grade 3",74,,,,,
81403771A-Prostate,,"Fibromuscular stromal pieces infiltrated by a poorly differentiated carcinoma consistent with a prostatic adenocarcinoma of Gleason score 5 +4 = 9 involving about 60% of the total surface area of the tissue received. In areas the tumour shows comedo necrosis. Focal perineural invasion is seen. Infiltration of adipose tissue is noted consisted with extra-prostatic extension. DPAS for fungal hyphae is negative.","Prostate - extra-prostatic extension",771,2000hyperplasia,,,,
2000771B-BPH,,"Prostatic cores with hyperplasia of glandular and stromal tissue with papillary buds and infoldings. There is increased smooth muscle, lymphocytes and ducts. There is no evidence of PIN or malignancy. The features are in keeping with benign prostatic hyperplasia.","prostate - benign prostatic hyperplasia",771,,,,,
"81403771B-Prostatic adenocarci",,"Prostatic cores with areas of prostatic hyperplasia, however, focally there is haphazardly arranged cluster of prostatic glands showing no prominent nucleoli. This focus lacks a basal layer on immunochemistry and is Racemase positive. The features are those of a prostatic adenocarcinoma of Gleason score 3 +3 = 6. No perineural invasion is seen.","Prostate - prostatic adenocarcinoma",771,,,,,
"780-Undescended testis ",,"Sections of testis shows hyalinization and thickening of tubular basement membrane with atrophy of other seminiferous tubules and complete arrest in spermatogensis. The vas deferens is normal. The epididymis shows atrophy. There is no intratubular germ cell neoplasia. No hyperplastic Sertoli cells or neoplasia is seen. The features are those of atrophy and germ cell arrest.","testis - undescended testis","78020left
78010right",,,,,
3421078-Torsion,,"Sections of testis show areas of tubular spermatogenesis with areas of ischaemia and stromal haemorrhage . The epididymis is normal. No neoplasia is seen. The features are in keeping with testicular torsion.","Testis - torsion","78020left
78010right",,,,,
Vascetomy,,"Sections show complete transection of normal vas deferens.","Val deferens - normal",79200,,,,,
3421087-Ovary,,"Sections of ovary and Fallopian tube show ischaemia and stromal haemorrhage . Part of the tubal epithelium and lining of a follicular cyst are the only viable tissue. No neoplasia is seen. The features are in keeping with tubulo-ovarian torsion.","Ovary - tubulo-ovarian torsion",87,,,,,
"420033A-Cervix- Immature squam",,"Cervical mucosa with immature stratified squamous cell epithelium and partly by mucus secreting columnar epithelium showing the transformation zone with chronic inflammation. There is no evidence of HPV-associated changes, CIN, CGIN or invasive neoplasia.",,33,,,,,
"420033B-Cervix - Koilocytosis",,"Cervical mucosa showing the transformation zone with koilocytosis. There is no evidence of squamous or glandular neoplasia.","Cervix - Koilocytosis",33,74006,,,,
"74006A-Cervical- CIN 1",,"Cervical mucosa including the transformation zone showing CIN 1. There is no evidence of CGIN or invasive neoplasia.","Cervix - CIN 1",33,74006,,,,
"74006B-Cervical- CIN 1 + wart",,"Cervical mucosa including the transformation zone showing CIN 1 and kiolocytosis. There is no evidence of CGIN or invasive neoplasia.","Cervix - CIN 1",33,74007,,,,
"74007A-Cervical- CIN 2",,"Cervical mucosa including the transformation zone showing CIN 2. There is no evidence of CGIN or invasive neoplasia.","Cervix - CIN 2",33,74007,,,,
"74007B-Cervical- CIN 2 + wart",,"Cervical mucosa including the transformation zone showing CIN 2 and kiolocytosis. There is no evidence of CGIN or invasive neoplasia.","Cervix - CIN 2",33,74008,,,,
"74008A-Cervical- CIN 3",,"Cervical mucosa including the transformation zone showing CIN 3. There is no evidence of CGIN or invasive neoplasia.","Cervix - CIN 3",33,74008,,,,
"74008B-Cervical- CIN 3 + wart",,"Cervical mucosa including the transformation zone showing CIN 3 and kiolocytosis. There is no evidence of CGIN or invasive neoplasia.","Cervix - CIN 3",33,,,,,
"420033C-Chronic Cervicitis",,"Cervical mucosa including the transformation zone shows acute and chronic cervicitis. There is no evidence of CIN, CGIN or invasive neoplasia.","Cervix - Cervicitis",33,76800,,,,
"7680033A-New Endocervical poly",,"Polypoid fragments of inflamed endocervical mucosa consistent with a polyp.  Immature squamous epithelium is represented. There is no evidence of malignancy.",,33,76800,,,,
"7680033B-New Endocervical poly",,"Polypoid fragments of inflamed endocervical mucosa consistent with a polyp. No squamous epithelium is represented. There is no evidence of malignancy.",,33,,,,,
"420033D-Cervix - Ectropion",,"Polypoid fragments of inflamed endocervical mucosa consistent with an ectropion. No squamous epithelium is represented. There is no evidence of malignancy.","Cervix - Ectropion",33,,,,,
7680033C-Polyp,,"Polypoid fragments of inflamed endocervical mucosa consistent with a polyp.  Immature squamous epithelium is represented. There is no evidence of malignancy.","Cervix - ",33,,,,,
7400733C-LOOP,,"Endocervical mucosa including the transformation zone shows HPV-associated changes, CIN1 and CIN 2. The CIN involves endocervical crypts. There is no evidence of invasive or glandular neoplasia. The CIN is free of the ectocervical, endocervical and lateral resection margins.","Cervix - LOOP",33,,,,,
7400633C-SMILE,,"Ectocervical tissue covered by poorly glycogenated stratified squamous cell epithelium showing, SMILE (Stratified Mucin-producing Intraepithelial Lesions), CIN1 with focal CIN2 extending down crypts. There is no evidence of invasive or glandular neoplasia.","Cervix - SMILE",33,,,,,
"420033E-Hystrectomy - no adnex",,"The cervix show the transformation zone. There is no evidence of CIN, CGIN or invasive neoplasia. The endometrium is inactive with cystically dilated glands in keeping with a post menopausal state. There is no evidence of hyperplasia or neoplasia. The myometrium is normal.","Cervix - Hystrectomy:",33,,,,,
"420033F-New Hystrectomy - with",,"The cervix show the transformation zone. There is no evidence of CIN, CGIN or invasive neoplasia. The endometrium is inactive with cystically dilated glands in keeping with a post menopausal state. There is no evidence of hyperplasia or neoplasia. The myometrium is normal. The right and left Fallopian tubes have paratubal cysts and vascular congestion. Both ovaries show no evidence of neoplasia. ",,33,,,,,
"8890033-Hystrectomy - leiomyom",,"The cervix show the transformation zone. There is no evidence of CIN, CGIN or invasive neoplasia. The endometrium is inactive. There is no evidence of hyperplasia or neoplasia. There is a submucosal leiomyoma which shows no evidence of atypia, necrosis, increased mitotic activity or malignancy. The right and left Fallopian tubes are within normal limits.","Cervix - with  leiomyoma",33,88900,,,,
"889004-Endometrium -  submucos",,"Fragments of weakly proliferative endometrium with underlying myometrium. The myometrium shows part of a cellular and hyalinised submucosal leiomyoma with no evidence of atypia, necrosis, increased mitotic activity or malignancy.","Endometrial biopsy - myometrium",4000,79310,,,,
"79310-Proliferative endometriu",,"Fragments of endometrium show proliferative phase activity. There is no evidence of hyperplasia, atypia or malignancy.","Endometrium - Proliferative endometrium",4000,79360,,,,
"79360A-Inactive endometrium",,"These are fragments of inactive endometrium. There is no evidence of endometritis, hyperplasia or neoplasia.","Endometrium - Inactive endometrium",4000,79360,,,,
"79360B-Inactive endometrium - ",,"Scanty fragments of inactive endometrial glands with loose fragments of stroma. There is no evidence of atypia or neoplasia although specimen is minimal.","Endometrium - Inactive glands and scanty stroma",4000,79360,,,,
"79360C-Inactive endometrium - ",,"Very scanty strips of inactive glandular admixed with mucus with minimal accompanying stroma. There is no evidence of atypia or neoplasia although specimen is minute.","Endometrium - Strips of glandular epithelium endometrium",4000,79360,,,,
"79360D-Progesterone effect",,"The endometrium shows inactive glands and stromal decidual changes consistent with progesteron effect. There is no evidence of hyperplasia or neoplasia.","Endometrium - Progesteron",4000,79320,,,,
79320A-Early-secretory,,"The endometrium shows early-secretory phase changes. There is no evidence of hyperplasia or neoplasia.","Endometrial biopsy - Early-secretory",4000,79320,,,,
79320B-Mid-secretory,,"The endometrium shows mid-secretory phase changes. There is no evidence of hyperplasia or neoplasia.","Endometrial biopsy - Mid-secretory",4000,79320,,,,
"79320C-Late secretory",,"The endometrium shows late-secretory phase changes. There is no evidence of hyperplasia or neoplasia.","Endometrial biopsy - Late-secretory",4000,79320,,,,
"79320D-Late secretory/ Menstru",,"Endometrial fragments show late secretory phase and menstrual phase changes. There is no evidence of neoplasia.","Endometrial biopsy - Late-secretory/ Menstrual type",4000,09000,,,,
"79330-Menstrual phase ",,"Endometrial fragments show menstrual phase changes. There is no evidence of hyperplasia or neoplasia.","Endometrial biopsy - Menstrual phase changes",4000,100,,,,
"10060-Normal Fallopian tubes",,"The right and left Fallopian tubes are within normal limits. The right and left ovaries have follicular cysts. There is no evidence of neoplasia.","Normal Fallopian tubes",60,33400,,,,
"33440-Bartholin's cyst",,"Sections show a cyst partly lined by non-keratinizing squamous epithelium and partly by mucinous epithelium. There is surrounding fibrosis and connective tissue. There is no evidence of malignancy. The features are in keeping with a Bartholin's cyst.","Endometrium - Bartholin's cyst",4000,,,,,
"7680040A-Lower uterine polyp",,"Polypoid fragments of tissue with endometrial glands and endocervical type mucus secreting columnar glands. The intervening stroma is fibrous and contains thick walled vessels. There is no evidence of hyperplasia, atypia or malignancy. The features are in keeping with a benign lower uterine endometrial polyp.","Endometrium - Lower uterine polyp",4000,,,,,
"7680040B-Endometrial polyp",,"Polypoid fragments of endometrium with benign glands set in a vascular stromain keeping with a  endometrial polyp. There is no evidence of hyperplasia, atypia or malignancy.","Endometrium - Endometrial polyp",4000,79500decidualchange,,,,
"7600-Disordered Proliferation ",,"Fragments of endometrium with proliferative glands showing some mild dilatation. The stroma contains thick walled vessels and areas of stromal breakdown. The features are those of disordered proliferation. There is no evidence of malignancy.","Endometrium - Disordered",4000,83803,,,,
"83803-endometrial adenocarcino",,"The cervix shows the transformation zone with retention cysts. There is no evidence of CIN, CGIN or invasive neoplasia. The lower uterine segment shows no evidence of malignancy. The endometrium has a polypoid grade 1 endometrioid endometrial adenocarcinoma infiltrating the inner half of the myometrium, lying 8 mm from the serosal surface (tumour free margin). No lymphovascular invasion is seen. The parametrium and cornua are free of tumour. A small focus of endosalpingiosis is noted. The background endometrium is in areas inactive but with some weakly proliferative glands. The myometrium shows adenomyosis and a benign leiomyoma. The right and left Fallopian tubes have paratubal cysts and vascular congestion. There is mild reactive atypia and fibrin is seen in the lumen of the right Fallopian tube. The right and left ovaries have microcalcification, fibrous stroma and epithelial inclusion cysts. No malignancy is seen.
 
The features are those of a grade 1 endometrioid endometrial adenocarcinoma (FIGO stage IA)",,4000,76500,,,,
76500-Endometriosis,,"Fragments of fibro-connective tissue showing endometriosis. There is no evidence of hyperplasia, atypia or malignancy.",,4000,2000,,,,
"200040-Complex hyperplasia End",,"Endometrial fragments show proliferative phase changes. There is a single fragment showing glands with architectural crowding and stratification of the nuclei. Squmaous morules are noted. There is focal mild atypia. The features represent a focus of complex endometrial hyperplasia with atypia.",,4000,26000,,,,
"26000-Ectopic Pregnancy",,"Section of dilated fallopian tube show the presence of an implantation site and normal chorionic villi. There is no evidence of abnormal trophoblastic proliferation. No embryonic tissue seen. The features are in keeping with an ectopic pregnancy.",,,,,,,
"28000A-No products",,"The entire specimen has been sampled. No products of conception seen. A uterine gestation can not be confirmed.",,,69470,,,,
"28000B-Products + villi",,"These are fragments of decidua and chorionic villi. There is no evidence of abnormal gestational trophoblastic proliferation. No embryonic tissue seen. Products of conception confirmed.",,,,,,,
"28000C-Products - villi",,"These are fragments of necrotic decidua and secretory endometrium showing implantation site reaction. No chorionic villi are seen. No embryonic tissue present. Products of conception confirmed.",,,,,,,
"88100A-Placenta ",,"Sections of the placenta show moderate to severe chorioamnionitis with subchorionic accumulation of neutrophils with degenerative changes focally in the amnion and inflammation of fetal vessels focally in the chorionic plate. The chorionic villi are immature but consistent with the given gestational age. Focal aggregates of neutrophils are noted within the parenchyma extending into chorionic villi and accompanied by acute inflammatory cells in the fetal vessels as well as colonies of bacteria. Subchorionic fibrin deposition and fresh haemorrhage is also noted. There is no evidence of fetal vasculopathy, chronic villitis or viral inclusions. Significant ischaemic change or infarction is not seen. Three umbilical cord vessels are present. None of the vessels are inflamed or thrombosed. All show accumulation of bacteria in the blood and the lumen. Gram stain is pending.",,88100,,,,,
88100B-Chorioamnionitis,,"Sections of the placenta show chorioamnionitis with subchorionic accumulation of neutrophils with degenerative changes focally in the amnion and inflammation of fetal vessels focally in the chorionic plate. The chorionic villi are immature but consistent with the given gestational age. There is no evidence of fetal vasculopathy, chronic villitis or viral inclusions. There is evidence of infarction. Three umbilical cord vessels are present. None of the vessels are inflamed or thrombosed.",,88100,,,,,
"88100C-No chorioamnionitis",,"Sections of the placenta show no chorioamnionitis. The chorionic villi are immature but consistent with the given gestational age. There is no evidence of fetal vasculopathy, chronic villitis or viral inclusions. There is no evidence of infarction although ischaemic change is evident. Three umbilical cord vessels are present. None of the vessels are inflamed or thrombosed.",,88100,33300,,,,
33300-Hydrosalpinx,,"Both Fallopian tubes show dilation of the lumen with flattening of the plicae. There is no evidence of neoplasia.",,60,,,,,
"Hydatid of Morgani",,"The sepcimen shows connective tissue composed of cystic structure lined columnar epithelium with surrounding vascular fibrous and smooth muscle cells. 
There is no dysplasia or malignancy. 
The features are in keeping with hydatid of Morgani. ",,,33400,,,,
"3340060A-Parafimbrial cyst",,"Sections show a parafimbrial cyst showing mild hyperplasia (p53 negative). The adjacent fallopian tube show mild fibrosis and vascular congestion. There is no evidence of in situ or invasive disease.",,60,74007,,,,
"7400733D-Cervical Loops",,"CIN (cervical intraepithelial  neoplasia):     CIN 1 and CIN 2
Extension of CIN into endocervical crypts? Present
CGIN: Absent
SMILE:Absent
Normal endocervical epithelium at end of canal? Yes
Endocervical edge:             Clear
Ectocervical edge:               Involved by CIN ***
Deep lateral edge:               Clear
Invasive malignancy:         Absent
Background changes:        HPV associated features and inflammation
Complete at all resection margins: Yes/ No",,33,33400,,,,
"3340087A-Ovaries Cysts",,"Fragments of congested ovarian stroma with part of a luteinised follicular cyst. There is no evidence of malignancy.",,87,33400,,,,
"3340087B-Ovarian Cyst and FT",,"Ovarian stroma with part of a large follicular cyst and smaller follicular cysts. There is no evidence of malignancy. The Fallopian tube is normal. A paratubal cyst is identified.",,87,33400,,,,
"3340060B-Faloopian  tube - Par",,"The sections of a paratubal cyst lined by ciliated epithelium. There is no evidence of malignancy.",,60,90840,,,,
"90840-Mature cystic teratoma",,"Sections show a tumor is composed exclusively of well-differentiated tissues. These include mature cartilage, smooth muscle and squamous epithelium with hair follicles and sebaceThe features are those of a mature cystic teratoma.ous glands. Neural and pancreatic tissue is also noted. There are no immature elements.",,87,84410,,,,
"84410-Benign serious cystadeno",,"Sections of ovary show a benign serous cystadenoma. There is no evidence of borderline change or malignancy. The sections of fallopian tube show mild fibrous expansion. A paratubal cyst is noted. There is no evidence of in situ or tubal malignancy.",,87,33400,,,,
"3340087C-Inclusion cysts",,"Sections from both ovaries show epithelial inclusion cysts. There is no evidence of malignancy. The fallopian tubes show mild fibrous expansion. There is no evidence of in situ or tubal malignancy.",,87,33400,,,,
7X100-Cytology-Urine-reactive,,"The specimen is scanty and contains urothelial cells, squamous and acute inflammatory cells. No high grade malignant cells are seen.",,7x100,76800polypnos,,,,
"76800 7X100A-Cytology-Urine-In",,"The specimen contains numerous neutrophil polymorphs with scanty reactive urothelial cells, and squames. No high grade malignant cells are seen.",,7x100,76800polypnos,,,,
"76800 7X100B-Cytology-Urine-Sq",,"The specimen contains reactive urothelial cells, neutrophils and numerous squames. No high grade malignant cells are seen.",,7x100,72200,,,,
72200-Cytology-Urine-Warthin's,,"Microscopic examination revealed epithelial cells arranged in flat, monolayered sheets, occasionally forming papillary fronds. The epithelial cells were oncocytic in appearance with abundant, densely eosinophilic, granular cytoplasm and round uniform bland nuclei; background showed mixed population of reactive lymphocytes with abundant cellular debris along with single, discohesive clusters of degenerating metaplastic squamous cells. Cytological diagnosis of Warthin?s tumor was rendered and excision of lump was advised.",,7x100,89400pleomorphicadenoma,,,,
"89400-Cytology-Urine-Cell poor",,"Microscopic examination revealed a predominant background showed mixed population of reactive lymphocytes, with abundant cellular debris. There are scanty degenerating metaplastic squamous cells and epithelial cells. No malignant cells are seen. Correlation with the radiological findings and clinical appearances is advised. The features are suggestive of Warthin?s tumour.",,7x100,09350morphologicaldescriptiononly,,,,
0935096-Cytology-Thyroid-Collo,,"The specimen comprises colloid with Hurthle cell metaplasia, histiocytes and bare follicular epithelium. No malignant cells are seen. The features are in keeping with a colloid goitre (Thy2).",,96000,89400,,,,
"89400 Cytology-Thyroid-Pleomor",,"The specimen comprises ductal cells, chondromyxoid matrix and myoepithelial cells. No malignant cells are seen. The features are in keeping with a Pleomorphic adenoma. Correlation with the radiological findings and clinical appearances is advised.",,96000,80103,,,,
"80103 96-Cytology-Thyroid-Carc",,"The specimen has been marked FNA of thyroid. The specimen show an undifferentiated, high grade, epithelioid malignancy with abnormal mitoses, marked nuclear pleomorphism and necrotic debris. Tumour giant cells are seen. A background of lymphoid cells are seen but no native follicular epithelium or colloid.The features are suggestive of an undifferentiated carcinoma (thy5), however, a metastasis or other high grade malignancy can not be excluded including malignant melanoma without immunochemistry. There was no cell block for this to be performed on. Correlation with the radiological findings and clinical appearances is advised.",,96000,87203,,,,
